data source: https://au.investing.com/indices/us-spx-500-futures-historical-data,,,,,,
,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
"Oct 21, 2002",898.75,882,901.75,872.5,646.05K,1.75
"Oct 22, 2002",891.5,897.25,897.25,881.5,608.45K,-0.81
"Oct 23, 2002",898.25,890.5,899,873,769.97K,0.76
"Oct 24, 2002",880.5,897.75,905,877.5,781.98K,-1.98
"Oct 25, 2002",898.75,879,900,875.25,628.87K,2.07
"Oct 28, 2002",891.75,900.25,909.25,885,614.25K,-0.78
"Oct 29, 2002",881.5,891.75,893.25,866,742.83K,-1.15
"Oct 30, 2002",889.75,881.5,895.75,877,788.49K,0.94
"Oct 31, 2002",885.5,889,898.75,877.75,684.69K,-0.48
"Nov 01, 2002",898.5,882,904,875,617.61K,1.47
"Nov 04, 2002",907.5,905.75,925,904.75,546.38K,1
"Nov 05, 2002",914,906.5,915.75,903.75,517.61K,0.72
"Nov 06, 2002",925.75,915.25,926.5,903,743.38K,1.29
"Nov 07, 2002",902.5,926,926.25,897,634.24K,-2.51
"Nov 08, 2002",891.5,905.75,910.75,890.5,587.17K,-1.22
"Nov 11, 2002",877.75,892,894,873,407.13K,-1.54
"Nov 12, 2002",884.75,877.75,894.5,875.75,602.74K,0.8
"Nov 13, 2002",885.75,885,892.75,870.25,757.52K,0.11
"Nov 14, 2002",902.5,886,905.75,881.25,631.81K,1.89
"Nov 15, 2002",909,902.25,910.5,894.5,557.85K,0.72
"Nov 18, 2002",900,909,917.5,898.5,526.69K,-0.99
"Nov 19, 2002",898,899.5,905.75,892.25,598.00K,-0.22
"Nov 20, 2002",918.75,898.25,919.25,893.25,620.62K,2.31
"Nov 21, 2002",935.5,919,936.75,916.5,628.10K,1.82
"Nov 22, 2002",928.75,935.75,937.5,927.25,464.04K,-0.72
"Nov 25, 2002",929.75,929,937.25,922.5,505.24K,0.11
"Nov 26, 2002",911.5,930,932.5,910.75,523.42K,-1.96
"Nov 27, 2002",938,912.75,941,912,430.47K,2.91
"Nov 29, 2002",936,938.25,942.5,930.75,151.43K,-0.21
"Dec 02, 2002",935.25,934,955.25,926.75,653.89K,-0.08
"Dec 03, 2002",923.75,935.75,939.5,917.75,629.91K,-1.23
"Dec 04, 2002",919,923.25,925.75,908.75,758.70K,-0.51
"Dec 05, 2002",908.5,919.25,926.25,905.25,651.67K,-1.14
"Dec 06, 2002",913.75,909.75,916,891.75,726.07K,0.58
"Dec 09, 2002",889.5,913.75,917.75,889,568.75K,-2.65
"Dec 10, 2002",902,889.5,905.25,888.75,536.35K,1.41
"Dec 11, 2002",902.25,902.25,910.25,895.5,523.29K,0.03
"Dec 12, 2002",902,902.25,908.75,896.25,72.87K,-0.03
"Dec 13, 2002",887.5,901.75,903.25,887,37.49K,-1.61
"Dec 16, 2002",910.25,886.25,912,885.5,21.80K,2.56
"Dec 17, 2002",902.75,910.25,912,901.25,21.60K,-0.82
"Dec 18, 2002",892.25,903.5,904,887,11.15K,-1.16
"Dec 19, 2002",886,893.25,908.75,879.75,15.00K,-0.7
"Dec 20, 2002",891.11,884.5,895.25,884.5,3.11K,0.58
"Dec 23, 2002",897,896.25,902,890.25,247.48K,0.66
"Dec 24, 2002",891.5,897,900,890,95.32K,-0.61
"Dec 26, 2002",890.75,890.25,903.25,885.75,193.49K,-0.08
"Dec 27, 2002",871.75,890.25,891.5,871.25,256.02K,-2.13
"Dec 30, 2002",877.5,872.25,881.5,869,327.93K,0.66
"Dec 31, 2002",879,878,881,868,302.44K,0.17
"Jan 02, 2003",907.5,883,909.75,882.5,469.31K,3.24
"Jan 03, 2003",910,907.5,910.75,901.75,420.72K,0.28
"Jan 06, 2003",926.5,911,931.5,903.75,541.64K,1.81
"Jan 07, 2003",923.75,926,930.5,918.75,670.73K,-0.3
"Jan 08, 2003",910,923.75,923.75,907.25,642.34K,-1.49
"Jan 09, 2003",924.75,910.25,928.5,908,618.02K,1.62
"Jan 10, 2003",926.5,925.75,933,915,693.02K,0.19
"Jan 13, 2003",926.5,926.5,937,920.75,690.75K,0
"Jan 14, 2003",929.25,926.25,931.5,920.5,529.89K,0.3
"Jan 15, 2003",921,927.25,932.75,915.5,593.76K,-0.89
